ImageId,Label
1,2
2,9
3,3
4,3
5,3
6,3
7,8
8,3
9,2
10,5
11,6
12,3
13,3
14,3
15,1
16,2
17,4
18,8
19,6
20,3
21,0
22,4
23,7
24,2
25,7
26,9
27,3
28,5
29,4
30,4
31,6
32,8
33,5
34,9
35,5
36,6
37,6
38,3
39,0
40,6
41,4
42,9
43,8
44,1
45,1
46,6
47,9
48,0
49,6
50,0
51,1
52,1
53,7
54,8
55,4
56,1
57,3
58,3
59,3
60,4
61,6
62,4
63,8
64,3
65,6
66,9
67,3
68,4
69,6
70,1
71,2
72,9
73,9
74,7
75,3
76,2
77,3
78,7
79,6
80,3
81,4
82,1
83,1
84,1
85,9
86,6
87,5
88,1
89,0
90,1
91,2
92,1
93,6
94,6
95,7
96,3
97,6
98,5
99,9
100,2
101,0
102,8
103,8
104,2
105,3
106,2
107,9
108,1
109,8
110,8
111,6
112,2
113,0
114,7
115,2
116,8
117,2
118,9
119,0
120,9
121,3
122,6
123,9
124,6
125,6
126,2
127,0
128,7
129,6
130,2
131,9
132,0
133,4
134,1
135,3
136,4
137,6
138,9
139,9
140,5
141,8
142,4
143,2
144,9
145,6
146,8
147,2
148,4
149,7
150,3
151,6
152,1
153,8
154,4
155,8
156,6
157,3
158,2
159,1
160,6
161,2
162,7
163,6
164,7
165,9
166,2
167,8
168,0
169,6
170,6
171,3
172,1
173,9
174,8
175,8
176,6
177,2
178,6
179,8
180,7
181,4
182,4
183,0
184,6
185,5
186,7
187,2
188,6
189,2
190,1
191,8
192,9
193,0
194,7
195,4
196,3
197,0
198,4
199,6
200,3
201,1
202,3
203,8
204,0
205,1
206,8
207,2
208,8
209,6
210,2
211,3
212,2
213,7
214,5
215,7
216,5
217,4
218,1
219,0
220,7
221,2
222,3
223,7
224,5
225,8
226,9
227,0
228,9
229,5
230,0
231,1
232,6
233,6
234,3
235,0
236,9
237,8
238,1
239,9
240,7
241,2
242,0
243,3
244,0
245,0
246,6
247,8
248,3
249,7
250,9
251,7
252,4
253,0
254,2
255,2
256,9
257,6
258,4
259,0
260,4
261,2
262,7
263,3
264,2
265,6
266,7
267,0
268,9
269,1
270,5
271,4
272,5
273,1
274,9
275,1
276,7
277,9
278,0
279,3
280,3
281,2
282,1
283,6
284,8
285,7
286,7
287,9
288,2
289,6
290,1
291,2
292,7
293,5
294,7
295,3
296,8
297,0
298,8
299,3
300,0
301,3
302,2
303,8
304,7
305,9
306,2
307,0
308,2
309,1
310,0
311,0
312,7
313,8
314,7
315,9
316,4
317,2
318,2
319,9
320,8
321,2
322,6
323,8
324,4
325,9
326,7
327,3
328,3
329,1
330,2
331,9
332,8
333,2
334,2
335,2
336,1
337,4
338,9
339,3
340,7
341,8
342,3
343,1
344,9
345,1
346,2
347,2
348,1
349,9
350,8
351,1
352,5
353,3
354,3
355,4
356,1
357,4
358,2
359,9
360,8
361,6
362,9
363,3
364,6
365,4
366,2
367,0
368,3
369,3
370,8
371,1
372,7
373,4
374,4
375,8
376,5
377,2
378,4
379,5
380,2
381,7
382,6
383,9
384,6
385,6
386,5
387,2
388,0
389,4
390,3
391,8
392,1
393,5
394,3
395,7
396,7
397,7
398,7
399,5
400,3
401,4
402,6
403,8
404,9
405,2
406,6
407,9
408,1
409,2
410,9
411,6
412,5
413,8
414,0
415,2
416,1
417,9
418,1
419,2
420,0
421,7
422,5
423,2
424,1
425,4
426,1
427,6
428,1
429,9
430,0
431,2
432,4
433,2
434,8
435,3
436,8
437,3
438,8
439,1
440,2
441,3
442,3
443,7
444,8
445,8
446,6
447,3
448,6
449,8
450,3
451,8
452,7
453,7
454,1
455,2
456,0
457,0
458,3
459,8
460,1
461,6
462,2
463,3
464,3
465,0
466,1
467,3
468,1
469,0
470,1
471,7
472,3
473,6
474,0
475,9
476,3
477,9
478,4
479,8
480,3
481,2
482,8
483,9
484,1
485,6
486,1
487,8
488,2
489,6
490,0
491,2
492,1
493,2
494,0
495,0
496,0
497,1
498,6
499,2
500,9
501,8
502,1
503,2
504,8
505,6
506,4
507,3
508,6
509,6
510,2
511,4
512,5
513,4
514,0
515,2
516,0
517,9
518,1
519,7
520,9
521,8
522,7
523,6
524,0
525,5
526,8
527,6
528,0
529,2
530,8
531,3
532,4
533,9
534,6
535,6
536,2
537,3
538,8
539,7
540,8
541,3
542,7
543,2
544,9
545,2
546,0
547,4
548,7
549,2
550,2
551,9
552,9
553,3
554,1
555,7
556,4
557,2
558,5
559,0
560,4
561,4
562,3
563,1
564,7
565,8
566,2
567,3
568,2
569,2
570,0
571,1
572,8
573,7
574,1
575,3
576,0
577,8
578,7
579,1
580,9
581,1
582,4
583,0
584,1
585,7
586,2
587,6
588,9
589,7
590,4
591,0
592,6
593,1
594,2
595,5
596,7
597,2
598,4
599,8
600,4
601,7
602,3
603,3
604,3
605,0
606,0
607,3
608,6
609,2
610,3
611,2
612,1
613,2
614,3
615,3
616,1
617,6
618,8
619,8
620,3
621,0
622,3
623,8
624,9
625,3
626,3
627,1
628,7
629,0
630,9
631,8
632,8
633,8
634,1
635,0
636,6
637,6
638,1
639,0
640,7
641,0
642,5
643,7
644,6
645,8
646,1
647,0
648,0
649,2
650,4
651,9
652,9
653,6
654,0
655,7
656,2
657,1
658,2
659,6
660,7
661,3
662,1
663,6
664,1
665,9
666,2
667,0
668,8
669,9
670,4
671,8
672,6
673,2
674,2
675,9
676,1
677,0
678,3
679,0
680,3
681,2
682,5
683,7
684,7
685,2
686,3
687,7
688,4
689,0
690,2
691,0
692,8
693,2
694,1
695,3
696,9
697,9
698,6
699,1
700,9
701,3
702,9
703,9
704,1
705,4
706,1
707,6
708,9
709,7
710,1
711,1
712,0
713,9
714,7
715,5
716,8
717,1
718,3
719,6
720,0
721,8
722,6
723,0
724,6
725,2
726,9
727,4
728,8
729,8
730,8
731,9
732,6
733,1
734,2
735,6
736,6
737,4
738,1
739,1
740,6
741,7
742,1
743,9
744,1
745,6
746,9
747,5
748,7
749,4
750,6
751,6
752,3
753,0
754,9
755,9
756,7
757,0
758,9
759,0
760,3
761,5
762,6
763,0
764,0
765,1
766,0
767,9
768,7
769,5
770,2
771,7
772,0
773,3
774,4
775,1
776,1
777,6
778,4
779,2
780,6
781,9
782,0
783,2
784,8
785,2
786,6
787,6
788,7
789,4
790,0
791,2
792,8
793,9
794,6
795,8
796,7
797,3
798,7
799,1
800,0
801,4
802,1
803,2
804,3
805,1
806,2
807,9
808,9
809,9
810,0
811,3
812,8
813,0
814,3
815,3
816,3
817,3
818,9
819,0
820,4
821,2
822,9
823,2
824,1
825,4
826,7
827,7
828,9
829,9
830,6
831,0
832,1
833,8
834,0
835,0
836,0
837,0
838,7
839,1
840,3
841,6
842,6
843,0
844,4
845,2
846,9
847,7
848,7
849,6
850,8
851,4
852,8
853,1
854,1
855,9
856,0
857,2
858,3
859,7
860,9
861,1
862,5
863,8
864,4
865,3
866,1
867,1
868,2
869,5
870,6
871,4
872,1
873,4
874,3
875,8
876,1
877,8
878,6
879,9
880,9
881,3
882,9
883,3
884,7
885,7
886,5
887,8
888,0
889,8
890,1
891,1
892,2
893,8
894,3
895,2
896,8
897,9
898,3
899,2
900,9
901,1
902,1
903,4
904,3
905,7
906,9
907,3
908,0
909,1
910,3
911,7
912,1
913,1
914,8
915,4
916,8
917,0
918,4
919,9
920,0
921,9
922,6
923,7
924,4
